Date,Market Return,Rolling Volatility,Market Regime,Period
2018-04-06 00:00:00-04:00,-0.02228551762313702,0.014587120832252783,High Volatility,Train
2018-04-09 00:00:00-04:00,0.004928124108075194,0.01394905029859224,High Volatility,Train
2018-04-10 00:00:00-04:00,0.015900201908904954,0.014576259960537833,High Volatility,Train
2018-04-11 00:00:00-04:00,-0.005241989558589899,0.01455982299803088,High Volatility,Train
2018-04-12 00:00:00-04:00,0.008227075366201042,0.014718741834836591,High Volatility,Train
2018-04-13 00:00:00-04:00,-0.002933329826704356,0.01472228966073256,High Volatility,Train
2018-04-16 00:00:00-04:00,0.008221817222176409,0.014874445674327746,High Volatility,Train
2018-04-17 00:00:00-04:00,0.0106983762081303,0.01480061088787554,High Volatility,Train
2018-04-18 00:00:00-04:00,0.0007405434466358773,0.014796528833710222,High Volatility,Train
2018-04-19 00:00:00-04:00,-0.005547725000584203,0.014843482642385187,High Volatility,Train
2018-04-20 00:00:00-04:00,-0.008479262494797135,0.013813797524934605,High Volatility,Train
2018-04-23 00:00:00-04:00,-0.00014992861995155593,0.012817740070827317,High Volatility,Train
2018-04-24 00:00:00-04:00,-0.013467349397692119,0.011720893782296947,High Volatility,Train
2018-04-25 00:00:00-04:00,0.0024715327742559356,0.011052737326526636,High Volatility,Train
2018-04-26 00:00:00-04:00,0.010165463847019218,0.011216515691412335,High Volatility,Train
2018-04-27 00:00:00-04:00,0.0009389385703795217,0.010886024153609234,High Volatility,Train
2018-04-30 00:00:00-04:00,-0.007690398325160275,0.00977576311100019,High Volatility,Train
2018-05-01 00:00:00-04:00,0.0017767763394755942,0.00940139553271854,High Volatility,Train
2018-05-02 00:00:00-04:00,-0.006717536106380928,0.009245781200371561,High Volatility,Train
2018-05-03 00:00:00-04:00,-0.0022035450226106645,0.009064453183750895,High Volatility,Train
2018-05-04 00:00:00-04:00,0.012946384753089069,0.007972109739137043,Low Volatility,Train
2018-05-07 00:00:00-04:00,0.0033835114905202968,0.007941814367424764,Low Volatility,Train
2018-05-08 00:00:00-04:00,0.0,0.007143462279511467,Low Volatility,Train
2018-05-09 00:00:00-04:00,0.009665485904564619,0.0073044346966019205,Low Volatility,Train
2018-05-10 00:00:00-04:00,0.009350637904966819,0.0073661744683161685,Low Volatility,Train
2018-05-11 00:00:00-04:00,0.0030513261234144107,0.007312565530503102,Low Volatility,Train
2018-05-14 00:00:00-04:00,0.00047667950374563617,0.007138513970996625,Low Volatility,Train
2018-05-15 00:00:00-04:00,-0.006887283211150841,0.006971281842911446,Low Volatility,Train
2018-05-16 00:00:00-04:00,0.0042051021122317955,0.007028461036410953,Low Volatility,Train
2018-05-17 00:00:00-04:00,-0.0008447860074695113,0.0068977062236559115,Low Volatility,Train
2018-05-18 00:00:00-04:00,-0.0025000332535862757,0.006606947078240223,Low Volatility,Train
2018-05-21 00:00:00-04:00,0.007518769648451329,0.006763566538651057,Low Volatility,Train
2018-05-22 00:00:00-04:00,-0.0027804809439817557,0.005904597426106948,Low Volatility,Train
2018-05-23 00:00:00-04:00,0.002751528743502263,0.005906564288367875,Low Volatility,Train
2018-05-24 00:00:00-04:00,-0.002048563779343038,0.005624077461499747,Low Volatility,Train
2018-05-25 00:00:00-04:00,-0.00238300920528689,0.005681563558233061,Low Volatility,Train
2018-05-29 00:00:00-04:00,-0.011500714822995861,0.0060426117004588505,Low Volatility,Train
2018-05-30 00:00:00-04:00,0.013344379324519817,0.006657046319908923,Low Volatility,Train
2018-05-31 00:00:00-04:00,-0.00612557903775679,0.0066200750107320416,Low Volatility,Train
2018-06-01 00:00:00-04:00,0.009817335041022002,0.006811818860402261,Low Volatility,Train
2018-06-04 00:00:00-04:00,0.004751894310166316,0.006354398887809145,Low Volatility,Train
2018-06-05 00:00:00-04:00,0.0007273512731953424,0.006344281192481592,Low Volatility,Train
2018-06-06 00:00:00-04:00,0.008360599669563262,0.006511438159150768,Low Volatility,Train
2018-06-07 00:00:00-04:00,-0.00010815065254843326,0.006263766020952723,Low Volatility,Train
2018-06-08 00:00:00-04:00,0.002956458381430549,0.00599727468908395,Low Volatility,Train
2018-06-11 00:00:00-04:00,0.001329904079633737,0.005980717016940531,Low Volatility,Train
2018-06-12 00:00:00-04:00,0.0012922791201090966,0.005979360463356567,Low Volatility,Train
2018-06-13 00:00:00-04:00,-0.0031910261737633228,0.0057732634201865295,Low Volatility,Train
2018-06-14 00:00:00-04:00,0.002518005231772369,0.005740486170441054,Low Volatility,Train
2018-06-15 00:00:00-04:00,-0.001275901553043579,0.005749348639822069,Low Volatility,Train
2018-06-18 00:00:00-04:00,-0.0020568736925326014,0.00573528550520455,Low Volatility,Train
2018-06-19 00:00:00-04:00,-0.003832392958901032,0.00563735955311523,Low Volatility,Train
2018-06-20 00:00:00-04:00,0.0017056542256166374,0.005583621587955638,Low Volatility,Train
2018-06-21 00:00:00-04:00,-0.006269062340343745,0.005782852977683157,Low Volatility,Train
2018-06-22 00:00:00-04:00,0.0018235309458862758,0.0057613175986319385,Low Volatility,Train
2018-06-25 00:00:00-04:00,-0.01361279002195015,0.006558774700555322,Low Volatility,Train
2018-06-26 00:00:00-04:00,0.002213991211064137,0.005980958675426723,Low Volatility,Train
2018-06-27 00:00:00-04:00,-0.008283967423290184,0.005515084278478896,Low Volatility,Train
2018-06-28 00:00:00-04:00,0.005717199015894181,0.005499542463852871,Low Volatility,Train
2018-06-29 00:00:00-04:00,0.0014396087073804686,0.0050297946554582595,Low Volatility,Train
2018-07-02 00:00:00-04:00,0.0021380124044616533,0.004927555198285346,Low Volatility,Train
2018-07-03 00:00:00-04:00,-0.0035312818038191196,0.0049717124485011985,Low Volatility,Train
2018-07-05 00:00:00-04:00,0.008158034061004127,0.004952810735238006,Low Volatility,Train
2018-07-06 00:00:00-04:00,0.008458145821170104,0.005347140513570067,Low Volatility,Train
2018-07-09 00:00:00-04:00,0.00900437569394863,0.0056900102143054064,Low Volatility,Train
2018-07-10 00:00:00-04:00,0.0035985943980947344,0.005736413110688303,Low Volatility,Train
2018-07-11 00:00:00-04:00,-0.007314619215526674,0.005975953176066123,Low Volatility,Train
2018-07-12 00:00:00-04:00,0.009065855639263543,0.0062668793680823315,Low Volatility,Train
2018-07-13 00:00:00-04:00,0.0007877755494827277,0.0062492291437923385,Low Volatility,Train
2018-07-16 00:00:00-04:00,-0.0008943491300082984,0.006244434869618242,Low Volatility,Train
2018-07-17 00:00:00-04:00,0.004045356061543659,0.006266302580823904,Low Volatility,Train
2018-07-18 00:00:00-04:00,0.002103473933409594,0.006179260372033927,Low Volatility,Train
2018-07-19 00:00:00-04:00,-0.0037713397190123343,0.006267894006507524,Low Volatility,Train
2018-07-20 00:00:00-04:00,-0.0011424432405257035,0.006067630664209282,Low Volatility,Train
2018-07-23 00:00:00-04:00,0.0018589248171607675,0.006067888605556962,Low Volatility,Train
2018-07-24 00:00:00-04:00,0.0050318712859502845,0.005051500385572803,Low Volatility,Train
